127.0.0.1 - - [19/Jul/2023:11:30:15 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Jul/2023:11:30:21 +0530] "GET /jsp-tut-1/ HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [19/Jul/2023:11:30:22 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Jul/2023:11:32:49 +0530] "GET /jsp-tut-1/ HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [19/Jul/2023:11:34:23 +0530] "GET /jsp-tut-1/ HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [19/Jul/2023:11:34:40 +0530] "GET /jsp-tut-1/ HTTP/1.1" 500 2128
0:0:0:0:0:0:0:1 - - [19/Jul/2023:11:35:59 +0530] "GET /jsp-tut-1/ HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [19/Jul/2023:11:37:58 +0530] "GET /jsp-tut-1/ HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [19/Jul/2023:11:50:31 +0530] "GET /jsp-tut-1/ HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [19/Jul/2023:11:54:13 +0530] "GET /jsp-tut-1/ HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [19/Jul/2023:11:55:48 +0530] "GET /jsp-tut-1/ HTTP/1.1" 200 402
